capsule_serial,capsule_id,details,original_launch,landings,mission_name,mission_flight,type,reuse_count,status
C101,dragon1,Reentered after three weeks in orbit,2010-12-08 15:43:00+00:00,0,COTS 1,7.0,Dragon 1.0,0,retired
C102,dragon1,First Dragon spacecraft,2012-05-02 07:44:00+00:00,1,COTS 2,8.0,Dragon 1.0,0,retired
C103,dragon1,First of twenty missions flown under the CRS1 contract,2012-10-08 00:35:00+00:00,1,CRS-1,9.0,Dragon 1.0,0,unknown
C104,dragon1,,2013-03-01 19:10:00+00:00,1,CRS-2,10.0,Dragon 1.0,0,unknown
C105,dragon1,First Dragon v1.1 capsule,2014-04-18 19:25:00+00:00,1,CRS-3,14.0,Dragon 1.1,0,unknown
C106,dragon1,First Dragon capsule to be reused,2014-09-21 05:52:00+00:00,3,CRS-4,18.0,Dragon 1.1,2,active
C107,dragon1,,2015-01-10 09:47:00+00:00,1,CRS-5,19.0,Dragon 1.1,0,unknown
C108,dragon1,Second Dragon capsule to be reused,2015-04-14 20:10:00+00:00,3,CRS-6,22.0,Dragon 1.1,2,active
C109,dragon1,Destroyed on impact after F9 launch failure,2015-06-28 14:21:00+00:00,0,CRS-7,24.0,Dragon 1.1,0,destroyed
C110,dragon1,,2016-04-08 20:43:00+00:00,2,CRS-8,28.0,Dragon 1.1,1,active
C111,dragon1,,2016-07-18 04:45:00+00:00,2,CRS-9,32.0,Dragon 1.1,1,active
C112,dragon1,,2017-02-19 14:39:00+00:00,2,CRS-10,36.0,Dragon 1.1,1,active
C113,dragon1,The last newly manufactured Dragon 1,2017-08-14 16:31:00+00:00,2,CRS-12,45.0,Dragon 1.1,1,active
C201,dragon2,"Destroyed in a test anomaly at LZ-1 on April 20, 2019",2019-03-02 07:45:00+00:00,1,CCtCap Demo Mission 1,76.0,Dragon 2.0,0,active
C202,dragon2,Capsule used to qualify Dragon 2's environmental control and life support systems.,,0,,,Dragon 2.0,0,active
C203,dragon2,Rumored to be used for Inflight Abort Test after DM-1,,0,,,Dragon 2.0,0,active
C204,dragon2,Currently in construction for use in DM-2,,0,,,Dragon 2.0,0,active
C205,dragon2,In construction for use in first mission in contract under the CCtCap contract,,0,,,Dragon 2.0,0,active
